inventory_id,Department,Class,Size,Inventory Units,Full Price Inventory Units,Markdown Inventory Units,Inventory Value,Full Price Inventory Value,Markdown Inventory Value,Units Sold,Full Price Units Sold,Markdown Units Sold,Sales,Full Price Sales,Markdown Sales
1,Casual Wear,Denim,24,64,64,0,"$1,327.62","$1,327.62",$0.00,5,5,0,$114.95 ,$114.95 ,$0.00 
2,Casual Wear,Denim,24X28,21,21,0,$517.29,$517.29,$0.00,2,2,0,$28.74 ,$28.74 ,$0.00 
3,Casual Wear,Denim,24x30,73,68,5,"$1,618.08","$1,518.08",$100.00,4,0,4,$75.00 ,$0.00 ,$75.00 
4,Casual Wear,Denim,25,68,68,0,"$1,495.58","$1,495.58",$0.00,1,1,0,$18.99 ,$18.99 ,$0.00 
5,Casual Wear,Denim,25x28,64,64,0,"$1,599.36","$1,599.36",$0.00,2,2,0,$49.98 ,$49.98 ,$0.00 
6,Casual Wear,Denim,25x30,31,31,0,$759.70,$759.70,$0.00,0,0,0,$0.00 ,$0.00 ,$0.00 
7,Casual Wear,Denim,26,100,100,0,"$2,247.00","$2,247.00",$0.00,6,6,0,$131.94 ,$131.94 ,$0.00 
8,Casual Wear,Denim,26/30,1,1,0,$16.99,$16.99,$0.00,1,1,0,$16.99 ,$16.99 ,$0.00 
9,Casual Wear,Denim,26x28,45,45,0,"$1,119.55","$1,119.55",$0.00,1,1,0,$19.99 ,$19.99 ,$0.00 
10,Casual Wear,Denim,26x30,74,35,39,"$1,475.65",$707.65,$768.00,9,0,9,$168.00 ,$0.00 ,$168.00 
11,Casual Wear,Denim,26x32,31,31,0,$759.70,$759.70,$0.00,1,1,0,$19.99 ,$19.99 ,$0.00 
12,Casual Wear,Denim,27,124,124,0,"$2,739.27","$2,739.27",$0.00,8,8,0,$173.93 ,$173.93 ,$0.00 
13,Casual Wear,Denim,27/30,16,16,0,$259.95,$259.95,$0.00,6,6,0,$86.65 ,$86.65 ,$0.00 
14,Casual Wear,Denim,27x28,136,136,0,"$3,381.15","$3,381.15",$0.00,14,14,0,$329.87 ,$329.87 ,$0.00 
15,Casual Wear,Denim,27x32,18,18,0,$437.32,$437.32,$0.00,1,1,0,$24.99 ,$24.99 ,$0.00 
16,Casual Wear,Denim,28,60,60,0,"$1,344.16","$1,344.16",$0.00,3,3,0,$52.23 ,$52.23 ,$0.00 
17,Casual Wear,Denim,28/30,14,14,0,$224.27,$224.27,$0.00,3,3,0,$50.97 ,$50.97 ,$0.00 
18,Casual Wear,Denim,28x28,1,1,0,$12.50,$12.50,$0.00,0,0,0,$0.00 ,$0.00 ,$0.00 
19,Casual Wear,Denim,28x30,24,24,0,$467.77,$467.77,$0.00,8,8,0,$155.92 ,$155.92 ,$0.00 
20,Casual Wear,Denim,29,178,178,0,"$4,058.22","$4,058.22",$0.00,17,17,0,$391.83 ,$391.83 ,$0.00 
21,Casual Wear,Denim,29/30,18,18,0,$305.82,$305.82,$0.00,6,6,0,$89.20 ,$89.20 ,$0.00 
22,Casual Wear,Denim,29x28,36,36,0,$899.64,$899.64,$0.00,1,1,0,$22.49 ,$22.49 ,$0.00 
23,Casual Wear,Denim,29x32,20,20,0,$487.31,$487.31,$0.00,2,2,0,$48.73 ,$48.73 ,$0.00 
24,Casual Wear,Denim,30,111,111,0,"$2,753.90","$2,753.90",$0.00,8,8,0,$180.42 ,$180.42 ,$0.00 
25,Casual Wear,Denim,30/30,12,12,0,$203.88,$203.88,$0.00,5,5,0,$71.36 ,$71.36 ,$0.00 
26,Casual Wear,Denim,31,80,80,0,"$1,981.71","$1,981.71",$0.00,4,4,0,$97.46 ,$97.46 ,$0.00 
27,Casual Wear,Denim,31/30,29,29,0,$488.46,$488.46,$0.00,3,3,0,$42.48 ,$42.48 ,$0.00 
28,Casual Wear,Denim,31x28,47,47,0,"$1,174.53","$1,174.53",$0.00,2,2,0,$49.98 ,$49.98 ,$0.00 
29,Casual Wear,Denim,31x32,20,20,0,$494.80,$494.80,$0.00,1,1,0,$13.74 ,$13.74 ,$0.00 
30,Casual Wear,Denim,32,60,60,0,"$1,494.40","$1,494.40",$0.00,7,7,0,$162.44 ,$162.44 ,$0.00 
31,Casual Wear,Denim,32/30,16,16,0,$263.35,$263.35,$0.00,0,0,0,$0.00 ,$0.00 ,$0.00 
32,Casual Wear,Denim,32x28,52,52,0,"$1,293.23","$1,293.23",$0.00,0,0,0,$0.00 ,$0.00 ,$0.00 
33,Casual Wear,Denim,33,27,27,0,$577.24,$577.24,$0.00,4,4,0,$68.22 ,$68.22 ,$0.00 
34,Casual Wear,Denim,33/30,19,19,0,$308.37,$308.37,$0.00,2,2,0,$28.03 ,$28.03 ,$0.00 
35,Casual Wear,Denim,33x30,80,0,80,"$1,582.00",$0.00,"$1,582.00",8,0,8,$154.00 ,$0.00 ,$154.00 
